Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
A0A1U9ZLM6	A0A1U9ZLM6_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
A0A1D8M993	A0A1D8M993_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 UL15	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
A0A290D5S7	A0A290D5S7_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
A0A0A7D929	A0A0A7D929_9ALPH	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	ORF44_47 ORF44 ORF47_44 spliced TRM3	Equid alphaherpesvirus 1 (Equine herpesvirus 1)	734	Herpesviridae TRM3 protein family
Q6RXE9	Q6RXE9_HCMV	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL89 TRM3 HHV5gp084	Human cytomegalovirus (HHV-5) (Human herpesvirus 5)	674	Herpesviridae TRM3 protein family
P25939	TRM1_EBVB9	reviewed	Tripartite terminase subunit 1	TRM1 BALF3	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	685	Herpesviridae TRM1 protein family
P03681	TERM_BPPH2	reviewed	Primer terminal protein (TP) (DNA terminal protein) (Gene product 3) (gp3) (Protein p3) (Terminal protein)	3	Bacillus phage phi29 (Bacteriophage phi-29)	266	Phi29likevirus DNA terminal protein family
I6UDY3	I6UDY3_HHV21	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 HHVG_00016	Human herpesvirus 2 (strain 186) (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
Q77CB9	Q77CB9_9ALPH	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Bovine herpesvirus type 1.1	735	Herpesviridae TRM3 protein family
P24443	TRM3_HHV6U	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 12L/7L U66/U60	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)	667	Herpesviridae TRM3 protein family
Q0GXZ7	Q0GXZ7_HCMV	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL89 TRM3	Human cytomegalovirus (HHV-5) (Human herpesvirus 5)	674	Herpesviridae TRM3 protein family
Q18LD7	TRM3_ELHVK	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3	Elephantid herpesvirus 1 (isolate Asian elephant/Berlin/Kiba/1998) (EIHV-1) (Elephant endotheliotropic herpesvirus)	660	Herpesviridae TRM3 protein family
P10217	TRM2_HHV11	reviewed	Tripartite terminase subunit 2	TRM2 UL33	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	130	Herpesviridae TRM2 protein family
Q6UDI2	TRM3_PSHV1	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 UL15	Psittacid herpesvirus 1 (isolate Amazon parrot/-/97-0001/1997) (PsHV-1) (Pacheco's disease virus)	506	Herpesviridae TRM3 protein family
K9MH98	K9MH98_9ALPH	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Chimpanzee herpesvirus strain 105640	734	Herpesviridae TRM3 protein family
K9USY7	K9USY7_EBVG	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	BDRF1 BGRF1 BGRF1-BDRF1 LMP2 TRM3 SNU-719_046 YCCEL1_047	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	690	Herpesviridae TRM3 protein family
P26744	PORTL_BPP22	reviewed	Portal protein (Gene product 1) (Gp1) (Head-to-tail connector)	1	Salmonella phage P22 (Bacteriophage P22)	725	P22likevirus portal protein family
P03271	PKG1_ADE05	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)	449	Adenoviridae packaging protein 1 family
P03273	PKG1_ADE07	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Human adenovirus B serotype 7 (HAdV-7) (Human adenovirus 7)	448	Adenoviridae packaging protein 1 family
P12540	PKG1_ADE12	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Human adenovirus A serotype 12 (HAdV-12) (Human adenovirus 12)	452	Adenoviridae packaging protein 1 family
P48752	PKG1_ADE40	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Human adenovirus F serotype 40 (HAdV-40) (Human adenovirus 40)	446	Adenoviridae packaging protein 1 family
P87552	PKG1_ADECT	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Canine adenovirus serotype 2 (strain Toronto A 26-61) (CAdV-2) (Canine adenovirus 2 (strain Toronto A 26-61))	446	Adenoviridae packaging protein 1 family
Q64749	PKG1_ADEG1	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Fowl adenovirus A serotype 1 (strain CELO / Phelps) (FAdV-1) (Avian adenovirus gal1 (strain Phelps))	439	Adenoviridae packaging protein 1 family
Q65945	PKG1_ADECC	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Canine adenovirus serotype 1 (strain CLL) (CAdV-1) (Canine adenovirus 1 (strain CLL))	446	Adenoviridae packaging protein 1 family
Q96680	PKG1_ADECR	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Canine adenovirus serotype 1 (strain RI261) (CAdV-1) (Canine adenovirus 1 (strain RI261))	502	Adenoviridae packaging protein 1 family
P06951	TERM_BPPZA	reviewed	DNA terminal protein (Gene product 3) (gp3) (Protein p3)	3	Bacillus phage PZA (Bacteriophage PZA)	266	Phi29likevirus DNA terminal protein family
P03272	PKG1_ADE02	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)	449	Adenoviridae packaging protein 1 family
P12539	PKG1_ADEM1	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Murine adenovirus A serotype 1 (MAdV-1) (Murine adenovirus 1)	449	Adenoviridae packaging protein 1 family
A9CB86	PKG1_ADES1	reviewed	Packaging protein 1 (Packaging protein IVa2)	IVa2	Snake adenovirus serotype 1 (SnAdV-1)	443	Adenoviridae packaging protein 1 family
O64319	PORTL_BPN15	reviewed	Probable portal protein	gene 4	Escherichia phage N15 (Bacteriophage N15)	530	Siphoviridae portal protein family
P54309	PORTL_BPSPP	reviewed	Portal protein (Gene product 6) (gp6) (Portal vertex protein)	6 siz	Bacillus phage SPP1 (Bacteriophage SPP1)	503	SPP1-like portal protein family
P03728	PORTL_BPT7	reviewed	Portal protein (Gene product 8) (Gp8) (Head-to-tail connector)	8	Enterobacteria phage T7 (Bacteriophage T7)	536	Podoviridae portal protein family
P28944	PORTL_EHV1B	reviewed	Portal protein	56	Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus)	753	Herpesviridae portal protein family
B0ZSF2	PORTL_BPHA1	reviewed	Probable portal protein	HAPgp04	Halomonas phage phiHAP-1 (isolate -/Gulf of Mexico/-/2001) (Bacteriophage phiHAP-1)	518	Siphoviridae portal protein family
Q6WHE6	PORTL_BPKVM	reviewed	Portal protein (gp20)	20 KVP40.0358	Vibrio phage KVP40 (isolate Vibrio parahaemolyticus/Japan/Matsuzaki/1991) (KVP40) (Bacteriophage KVP40)	511	Tevenvirinae portal protein family
O21872	PORTL_BPLSK	reviewed	Probable portal protein (Gene product 4) (gp4) (Putative portal protein)		Lactococcus phage SK1 (Lactococcus lactis bacteriophage SK1)	378	Skunalikevirus portal protein family
O64207	PORTL_BPMD2	reviewed	Portal protein (Gene product 14) (gp14) (Portal vertex protein)	14	Mycobacterium phage D29 (Mycobacteriophage D29)	485	SPP1-like portal protein family
Q05220	PORTL_BPML5	reviewed	Portal protein (Gene product 14) (gp14) (Portal vertex protein)	14	Mycobacterium phage L5 (Mycobacteriophage L5)	486	SPP1-like portal protein family
P36272	PORTL_BPP21	reviewed	Portal protein (Head protein Gp4)	4	Enterobacteria phage P21 (Bacteriophage 21) (Bacteriophage P21)	530	Siphoviridae portal protein family
E1XTG6	PORTL_BPSAV	reviewed	Portal protein (gp20)	Vi01_157c	Salmonella phage ViI	560	Tevenvirinae portal protein family
P84458	PORTL_EHV1V	reviewed	Portal protein	56	Equine herpesvirus 1 (strain V592) (EHV-1) (Equine abortion virus)	753	Herpesviridae portal protein family
O36392	PORTL_ALHV1	reviewed	Portal protein	43	Alcelaphine herpesvirus 1 (strain C500) (AlHV-1) (Malignant catarrhal fever virus)	557	Herpesviridae portal protein family
P16735	PORTL_HCMVA	reviewed	Portal protein	UL104	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	697	Herpesviridae portal protein family
P89429	PORTL_HHV2H	reviewed	Portal protein	UL6	Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2)	678	Herpesviridae portal protein family
D3WAC3	PORTL_BPLP2	reviewed	Probable portal protein (Gene product 4) (gp4)		Lactococcus phage p2 (Lactococcus lactis bacteriophage p2)	378	Skunalikevirus portal protein family
Q24LJ4	PORTL_BPPCD	reviewed	Portal protein (Portal vertex protein)		Clostridium phage phiCD119 (strain Clostridium difficile/United States/Govind/2006) (Bacteriophage phiCD119)	451	SPP1-like portal protein family
Q9E6R0	PORTL_GAHVM	reviewed	Portal protein	MDV018	Gallid herpesvirus 2 (strain Chicken/Md5/ATCC VR-987) (GaHV-2) (Marek's disease herpesvirus type 1)	722	Herpesviridae portal protein family
F5HBR4	PORTL_HCMVM	reviewed	Portal protein	UL104	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	697	Herpesviridae portal protein family
P10190	PORTL_HHV11	reviewed	Portal protein	UL6	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	676	Herpesviridae portal protein family
P52454	PORTL_HHV6Z	reviewed	Portal protein	U76 CB3L	Human herpesvirus 6B (strain Z29) (HHV-6 variant B) (Human B lymphotropic virus)	662	Herpesviridae portal protein family
P52455	PORTL_HHV7J	reviewed	Portal protein	U76	Human herpesvirus 7 (strain JI) (HHV-7) (Human T lymphotropic virus)	640	Herpesviridae portal protein family
F5HGK9	PORTL_HHV8P	reviewed	Portal protein	ORF43	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	605	Herpesviridae portal protein family
P20323	PORTL_BPT3	reviewed	Portal protein (Gene product 8) (Gp8) (Head-to-tail connector)	8	Enterobacteria phage T3 (Bacteriophage T3)	535	Podoviridae portal protein family
P13334	PORTL_BPT4	reviewed	Portal protein (Gene product 20) (gp20)	20	Enterobacteria phage T4 (Bacteriophage T4)	524	Tevenvirinae portal protein family
Q1HVF2	PORTL_EBVA8	reviewed	Portal protein	BBRF1	Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4)	613	Herpesviridae portal protein family
P03213	PORTL_EBVB9	reviewed	Portal protein	BBRF1	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	613	Herpesviridae portal protein family
Q3KSR9	PORTL_EBVG	reviewed	Portal protein	BBRF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	613	Herpesviridae portal protein family
Q66646	PORTL_EHV2	reviewed	Portal protein	43	Equine herpesvirus 2 (strain 86/87) (EHV-2)	598	Herpesviridae portal protein family
P52453	PORTL_HHV6U	reviewed	Portal protein	U76 HDLF1	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human B lymphotropic virus)	662	Herpesviridae portal protein family
P03710	PORTL_LAMBD	reviewed	Portal protein B (GpB) (Minor capsid protein B) [Cleaved into: Protein B*]	B lambdap04	Escherichia phage lambda (Bacteriophage lambda)	533	Siphoviridae portal protein family
